State,Latitude,Longitude
ALABAMA,32.806671,-86.79113
ALASKA,61.370716,-152.404419
ARIZONA,33.729759,-111.431221
ARKANSAS,34.969704,-92.373123
CALIFORNIA,36.116203,-119.681564
COLORADO,39.059811,-105.311104
CONNECTICUT,41.597782,-72.755371
DELAWARE,39.318523,-75.507141
DISTRICT OF COLUMBIA,38.897438,-77.026817
FLORIDA,27.766279,-81.686783
GEORGIA,33.040619,-83.643074
HAWAII,21.094318,-157.498337
IDAHO,44.240459,-114.478828
ILLINOIS,40.349457,-88.986137
INDIANA,39.849426,-86.258278
IOWA,42.011539,-93.210526
KANSAS,38.5266,-96.726486
KENTUCKY,37.66814,-84.670067
LOUISIANA,31.169546,-91.867805
MAINE,44.693947,-69.381927
MARYLAND,39.063946,-76.802101
MASSACHUSETTS,42.230171,-71.530106
MICHIGAN,43.326618,-84.536095
MINNESOTA,45.694454,-93.900192
MISSISSIPPI,32.741646,-89.678696
MISSOURI,38.456085,-92.288368
MONTANA,46.921925,-110.454353
NEBRASKA,41.12537,-98.268082
NEVADA,38.313515,-117.055374
NEW HAMPSHIRE,43.452492,-71.563896
NEW JERSEY,40.298904,-74.521011
NEW MEXICO,34.840515,-106.248482
NEW YORK,42.165726,-74.948051
NORTH CAROLINA,35.630066,-79.806419
NORTH DAKOTA,47.528912,-99.784012
OHIO,40.388783,-82.764915
OKLAHOMA,35.565342,-96.928917
OREGON,44.572021,-122.070938
PENNSYLVANIA,40.590752,-77.209755
RHODE ISLAND,41.680893,-71.51178
SOUTH CAROLINA,33.856892,-80.945007
SOUTH DAKOTA,44.299782,-99.438828
TENNESSEE,35.747845,-86.692345
TEXAS,31.054487,-97.563461
UTAH,40.150032,-111.862434
VERMONT,44.045876,-72.710686
VIRGINIA,37.769337,-78.169968
WASHINGTON,47.400902,-121.490494
WEST VIRGINIA,38.491226,-80.954453
WISCONSIN,44.268543,-89.616508
WYOMING,42.755966,-107.30249
